time,stock,paired_shares,imbalance_shares,imbalance_direction,imbalance_ratio,signed_imbalance,near_reference_deviation,far_price,near_price,reference_price,signal
0 days 09:29:59.137953381,INKAW,1,26199,B,0.9999618320610687,0.9999618320610687,0.0006583278472678669,0.152,0.152,0.1519,1
0 days 09:29:59.139184363,GIACW,1,199,B,0.995,0.995,0.012500000000000011,0.33,0.324,0.32,1
0 days 09:29:59.088187541,NWFL,13,637,B,0.98,0.98,0.005035971223021603,27.94,27.94,27.8,1
0 days 09:29:59.021820198,HOTH,414,7457,B,0.9474018549104307,0.9474018549104307,0.00962671905697449,0.529,0.5139,0.509,1
0 days 09:29:59.037382258,DWMC,126,1744,B,0.932620320855615,0.932620320855615,0.016260162601626084,35.0,35.0,34.44,1
0 days 09:29:59.202193601,MOHO,1806,23633,B,0.9290066433428987,0.9290066433428987,0.02305475504322769,0.18,0.1775,0.1735,1
0 days 09:29:59.059224570,BEATW,300,3700,B,0.925,0.925,0.00027034333603673694,0.37,0.37,0.3699,1
0 days 09:29:59.294095615,CETX,1518,16430,B,0.9154223311789614,0.9154223311789614,0.03727714748784444,0.32,0.32,0.3085,1
0 days 09:29:59.191002165,FTXG,1072,8376,B,0.88653683319221,0.88653683319221,0.0025325615050651334,0.0,27.71,27.64,1
0 days 09:29:59.087583582,RGLS,1553,11041,B,0.8766873114181356,0.8766873114181356,0.0053317535545022755,0.17,0.1697,0.1688,1
0 days 09:29:59.141710350,LILMW,1426,9302,B,0.8670768083519761,0.8670768083519761,0.051859099804305274,0.43,0.43,0.4088,1
0 days 09:29:59.121120664,RVAC,58,350,B,0.8578431372549019,0.8578431372549019,0.001007049345417904,12.72,9.94,9.93,1
0 days 09:29:59.167460693,XCUR,13554,81007,B,0.85666395236937,0.85666395236937,0.0075566750629722755,0.12,0.12,0.1191,1
0 days 09:29:59.215086478,INPX,4753,27333,B,0.8518668578196098,0.8518668578196098,0.02505694760820048,0.227,0.225,0.2195,1
0 days 09:29:59.199168467,NVNO,90,459,B,0.8360655737704918,0.8360655737704918,0.011494252873563383,4.4,4.4,4.35,1
0 days 09:29:59.115739775,HYDR,247,1218,B,0.8313993174061434,0.8313993174061434,0.0007087172218284754,14.12,14.12,14.11,1
0 days 09:29:59.168831330,ONBPO,64,304,B,0.8260869565217391,0.8260869565217391,0.0019615535504119543,25.57,25.54,25.49,1
0 days 09:29:59.266476687,VEON,20503,87121,B,0.8094941648702891,0.8094941648702891,0.014760147601476026,0.55,0.55,0.542,1
0 days 09:29:59.163243768,ALNA,14502,60179,B,0.8058140624790777,0.8058140624790777,0.06589147286821706,0.115,0.11,0.1032,1
0 days 09:29:59.027912162,RGCO,26,106,B,0.803030303030303,0.803030303030303,0.0009569377990432118,20.99,20.92,20.9,1
0 days 09:29:59.114242312,NDRA,3469,11664,B,0.7707658759003502,0.7707658759003502,0.01694915254237287,0.228,0.228,0.2242,1
0 days 09:29:59.018528573,BFIIW,126,374,B,0.748,0.748,0.00020004000800157828,0.5,0.5,0.4999,1
0 days 09:29:59.147768563,RIBT,1220,3605,B,0.7471502590673575,0.7471502590673575,0.023255813953488393,0.45,0.44,0.43,1
0 days 09:29:59.046703711,QTNT,5784,15763,B,0.731563558732074,0.731563558732074,0.029126213592233035,0.56,0.53,0.515,1
0 days 09:29:59.251792499,EVMT,350,811,B,0.6985357450473729,0.6985357450473729,0.0007339449541284248,28.71,27.27,27.25,1
0 days 09:29:59.219841151,BAOS,60727,139523,B,0.6967440699126093,0.6967440699126093,0.0005457522284884082,0.55,0.55,0.5497,1
0 days 09:29:59.263538782,MNSB,206,473,B,0.6966126656848306,0.6966126656848306,0.006868686868686937,24.92,24.92,24.75,1
0 days 09:29:59.221639140,NCTY,536,1166,B,0.6850763807285546,0.6850763807285546,0.005617977528089893,1.79,1.79,1.78,1
0 days 09:29:59.160889963,PIXY,1173,2503,B,0.6809031556039173,0.6809031556039173,0.019721577726218072,0.2736,0.2637,0.2586,1
0 days 09:29:59.154110546,DBGI,10930,22948,B,0.6773717456756597,0.6773717456756597,0.061026352288488295,0.23,0.2295,0.2163,1
0 days 09:29:59.015375270,AXDX,1707,3175,B,0.6503482179434658,0.6503482179434658,0.012914661939731703,0.8,0.8,0.7898,1
0 days 09:29:59.144812501,ORGS,415,764,B,0.6480067854113656,0.6480067854113656,0.015624999999999944,3.25,3.25,3.2,1
0 days 09:29:59.247254348,BHAT,6786,12094,B,0.6405720338983051,0.6405720338983051,0.054201527828301295,0.2898,0.2898,0.2749,1
0 days 09:29:59.004247301,BWV,411,671,B,0.6201478743068392,0.6201478743068392,0.005434782608695656,3.7,3.7,3.68,1
0 days 09:29:59.088794592,PIZ,2059,3171,B,0.6063097514340344,0.6063097514340344,0.0006763611768684333,29.59,29.59,29.57,1
0 days 09:29:59.267908251,AKBA,33378,50704,B,0.6030303751100117,0.6030303751100117,0.006535947712418306,0.39,0.385,0.3825,1
0 days 09:29:59.014978154,CASI,4971,7487,B,0.6009792904157971,0.6009792904157971,0.005392156862745185,0.43,0.4102,0.408,1
0 days 09:29:59.216369060,EMIF,336,502,B,0.5990453460620525,0.5990453460620525,0.0305594734367655,29.59,21.92,21.27,1
0 days 09:29:59.069096402,HYZD,212,313,B,0.5961904761904762,0.5961904761904762,0.0019047619047618642,21.1,21.04,21.0,1
0 days 09:29:59.132402324,WSBCP,99,142,B,0.5892116182572614,0.5892116182572614,0.0023076923076922585,26.06,26.06,26.0,1
0 days 09:29:59.267977236,AEI,7785,9963,B,0.5613590263691683,0.5613590263691683,0.01003344481605349,0.3641,0.3624,0.3588,1
0 days 09:29:59.118532372,VLDRW,1000,1242,B,0.5539696699375558,0.5539696699375558,0.16225864027259468,0.79,0.7163,0.6163,1
0 days 09:29:59.065351168,VRNA,889,1087,B,0.5501012145748988,0.5501012145748988,0.023872679045092802,3.89,3.86,3.77,1
